# Date: 2017-08-04
# genetable Version: 1.0.0.1
# Notes:This file includes starting and ending ranges for feature = "gene" in the gtf file.
#
# Data Dictionary:
#   variables type description
#   chr character chromosome in genome build GRCh37/hg19
#   strand character DNA strand. values {+,-}
#   gene_id character gene identifier with ENSG prefix
#   gene_name character Gene name
#   agg_start integer 5' start position of the feature in genome build GRCh37/hg19
#   agg_end integer 3' end position of the gene in genome build GRCh37/hg19
#   source comma seprated list annotation sources of transcripts in an aggregation unit
#   type character biotype of the feature
#   merge_count integer number of features joined in aggregation unit
#   agg_size integer length of aggregation unit

chr	strand	gene_id	gene_name	agg_start	agg_end	source	transcript_type	merge_count	agg_size
chr22	+	ENSG00000233995.1	KB-67B5.12	17052917	17055527	HAVANA	pseudogene	1	2610
chr22	-	ENSG00000239435.1	KCNMB3P1	17061816	17063607	HAVANA	pseudogene	1	1791
chr22	-	ENSG00000198445.3	CCT8L2	17071667	17073700	HAVANA	protein_coding	1	2033
chr22	-	ENSG00000240122.1	FABP5P11	17075979	17076375	HAVANA	pseudogene	1	396
chr22	-	ENSG00000221084.1	AP000547.1	17079607	17079694	ENSEMBL	miRNA	1	87
chr22	+	ENSG00000100181.17	TPTEP1	17082777	17179632	HAVANA	lincRNA	1	96855
chr22	+	ENSG00000267338.1	KB-7G2.9	17097060	17098004	HAVANA	lincRNA	1	944
chr22	-	ENSG00000249288.1	SLC25A15P5	17126585	17127471	HAVANA	pseudogene	1	886
chr22	-	ENSG00000249263.2	PARP4P3	17134782	17140518	HAVANA	pseudogene	1	5736
chr22	-	ENSG00000189295.9	ANKRD62P1-PARP4P3	17134956	17160374	HAVANA	processed_transcript	1	25418
chr22	-	ENSG00000259271.1	ANKRD62P1	17151980	17160383	HAVANA	pseudogene	1	8403
chr22	-	ENSG00000273244.1	KB-7G2.8	17156906	17175538	HAVANA	lincRNA	1	18632
chr22	-	ENSG00000241717.1	VWFP1	17170993	17185367	HAVANA	pseudogene	1	14374
chr22	-	ENSG00000235343.1	AC005301.8	17227759	17229535	HAVANA	lincRNA	1	1776
chr22	-	ENSG00000172967.7	XKR3	17264302	17302589	HAVANA	protein_coding	1	38287
chr22	+	ENSG00000229027.3	HSFY1P1	17308364	17310225	HAVANA	pseudogene	1	1861
chr22	+	ENSG00000234121.1	GPM6BP3	17318412	17318556	HAVANA	pseudogene	1	144
chr22	+	ENSG00000237835.1	AC007064.22	17336694	17337052	HAVANA	pseudogene	1	358
chr22	-	ENSG00000220248.1	ZNF402P	17338509	17341608	HAVANA	pseudogene	1	3099
chr22	+	ENSG00000237689.1	AC007064.24	17350368	17352016	HAVANA	lincRNA	1	1648
chr22	-	ENSG00000228122.1	MTND1P17	17357108	17357311	HAVANA	pseudogene	1	203
chr22	-	ENSG00000237358.1	AC007064.25	17357442	17357792	HAVANA	pseudogene	1	350
chr22	+	ENSG00000225480.1	AC006548.19	17378335	17378436	HAVANA	pseudogene	1	101
chr22	-	ENSG00000230481.2	IGKV1OR22-5	17385109	17385586	HAVANA	IG_V_pseudogene	1	477
chr22	-	ENSG00000253691.2	IGKV2OR22-4	17395125	17395871	HAVANA	IG_V_pseudogene	1	746
chr22	-	ENSG00000253460.2	IGKV2OR22-3	17402333	17403063	HAVANA	IG_V_pseudogene	1	730
chr22	-	ENSG00000254264.2	IGKV3OR22-2	17406842	17407334	HAVANA	IG_V_pseudogene	1	492
chr22	-	ENSG00000253481.2	IGKV1OR22-1	17414411	17414893	HAVANA	IG_V_pseudogene	1	482
chr22	-	ENSG00000215568.3	GAB4	17442826	17489112	HAVANA	protein_coding	1	46286
chr22	+	ENSG00000270226.1	AC006548.26	17493294	17493822	HAVANA	pseudogene	1	528
chr22	+	ENSG00000237438.2	CECR7	17517460	17541715	HAVANA	lincRNA	1	24255
chr22	+	ENSG00000273203.1	AC006946.16	17548711	17551565	HAVANA	lincRNA	1	2854
chr22	+	ENSG00000273442.1	AC006946.17	17561591	17562346	HAVANA	lincRNA	1	755
chr22	+	ENSG00000177663.9	IL17RA	17565844	17596583	HAVANA	protein_coding	1	30739
chr22	-	ENSG00000235328.1	AC006946.12	17574502	17574829	HAVANA	pseudogene	1	327
chr22	-	ENSG00000183307.3	CECR6	17597189	17602257	HAVANA	protein_coding	1	5068
chr22	+	ENSG00000235478.1	AC006946.15	17602476	17612994	HAVANA	protein_coding	1	10518
chr22	-	ENSG00000069998.8	CECR5	17618401	17646177	HAVANA	protein_coding	1	27776
chr22	+	ENSG00000185837.3	CECR5-AS1	17640274	17646335	HAVANA	antisense	1	6061
chr22	-	ENSG00000093072.11	CECR1	17660194	17702879	HAVANA	protein_coding	1	42685
chr22	+	ENSG00000236325.1	AC005300.5	17673826	17674198	HAVANA	pseudogene	1	372
chr22	+	ENSG00000269774.1	AC005399.1	17690773	17691374	ENSEMBL	pseudogene	1	601
chr22	+	ENSG00000203416.2	FAM32B	17694618	17695045	HAVANA	pseudogene	1	427
chr22	-	ENSG00000241832.1	CECR3	17737749	17747623	HAVANA	processed_transcript	1	9874
chr22	+	ENSG00000231004.2	CECR9	17809924	17810122	HAVANA	processed_transcript	1	198
chr22	-	ENSG00000239547.2	RN7SL843P	17833773	17834067	ENSEMBL	misc_RNA	1	294
chr22	+	ENSG00000099954.14	CECR2	17840837	18037850	HAVANA	protein_coding	1	197013
chr22	+	ENSG00000229492.1	AC004019.10	17897744	17898875	HAVANA	pseudogene	1	1131
chr22	-	ENSG00000232305.1	CLCP1	17903436	17903823	HAVANA	pseudogene	1	387
chr22	-	ENSG00000228045.1	DNAJA1P6	17997708	17998061	HAVANA	pseudogene	1	353
chr22	+	ENSG00000272675.1	AC004019.18	18036250	18037847	HAVANA	lincRNA	1	1597
chr22	+	ENSG00000182902.9	SLC25A18	18043139	18073760	HAVANA	protein_coding	1	30621
chr22	-	ENSG00000236754.1	AC004019.13	18062923	18071958	HAVANA	antisense	1	9035
chr22	-	ENSG00000131100.8	ATP6V1E1	18074902	18111584	HAVANA	protein_coding	1	36682
chr22	+	ENSG00000099968.13	BCL2L13	18111621	18213388	HAVANA	protein_coding	1	101767
chr22	-	ENSG00000251737.1	snoU13	18124172	18124285	ENSEMBL	snoRNA	1	113
chr22	-	ENSG00000015475.14	BID	18216906	18257536	HAVANA	protein_coding	1	40630
chr22	-	ENSG00000264757.1	MIR3198-1	18246946	18247025	ENSEMBL	miRNA	1	79
chr22	+	ENSG00000269220.1	LINC00528	18260088	18262247	HAVANA	lincRNA	1	2159
chr22	-	ENSG00000243156.3	MICAL3	18270415	18507325	HAVANA	protein_coding	1	236910
chr22	-	ENSG00000093100.13	XXbac-B461K10.4	18270418	18294263	HAVANA	processed_transcript	1	23845
chr22	-	ENSG00000207780.1	MIR648	18463634	18463727	ENSEMBL	miRNA	1	93
chr22	-	ENSG00000235445.1	XXbac-B476C20.14	18465971	18466385	HAVANA	sense_intronic	1	414
chr22	-	ENSG00000234913.1	XXbac-B476C20.13	18487036	18490074	HAVANA	sense_intronic	1	3038
chr22	+	ENSG00000237446.1	RHEBP3	18501980	18502966	HAVANA	pseudogene	1	986
chr22	+	ENSG00000235295.1	XXbac-B476C20.17	18512151	18520734	HAVANA	lincRNA	1	8583
chr22	-	ENSG00000225335.2	XXbac-B476C20.9	18559293	18561650	HAVANA	antisense	1	2357
chr22	+	ENSG00000215193.8	PEX26	18560689	18613905	HAVANA	protein_coding	1	53216
chr22	-	ENSG00000236890.2	XXbac-B476C20.11	18564232	18564441	HAVANA	pseudogene	1	209
chr22	+	ENSG00000235617.1	XXbac-B476C20.10	18584378	18584654	HAVANA	pseudogene	1	276
chr22	-	ENSG00000225225.1	ARL2BPP10	18585223	18586415	HAVANA	pseudogene	1	1192
chr22	+	ENSG00000183785.10	TUBA8	18593097	18629321	HAVANA	protein_coding	1	36224
chr22	+	ENSG00000184979.9	USP18	18632666	18660164	HAVANA	protein_coding	1	27498
chr22	-	ENSG00000187979.4	AC008079.9	18660805	18688682	HAVANA	antisense	1	27877
chr22	+	ENSG00000182824.6	AC008132.1	18721427	18745407	ENSEMBL	protein_coding	1	23980
chr22	-	ENSG00000197421.5	GGT3P	18761178	18830912	HAVANA	pseudogene	1	69734
chr22	-	ENSG00000239989.1	AC008132.14	18781927	18782317	HAVANA	pseudogene	1	390
chr22	+	ENSG00000234764.2	AC008132.12	18821207	18821951	HAVANA	pseudogene	1	744
chr22	+	ENSG00000161103.7	AC008132.13	18834324	18848562	HAVANA	protein_coding	1	14238
chr22	-	ENSG00000215544.6	BCRP7	18843134	18846153	HAVANA	pseudogene	1	3019
chr22	+	ENSG00000183628.8	DGCR6	18893541	18901751	HAVANA	protein_coding	1	8210
chr22	-	ENSG00000100033.12	PRODH	18900294	18924066	HAVANA	protein_coding	1	23772
chr22	+	ENSG00000237517.4	DGCR5	18958027	19018755	HAVANA	antisense	1	60728
chr22	-	ENSG00000271275.1	AC007326.9	18984651	18985108	HAVANA	pseudogene	1	457
chr22	+	ENSG00000273032.1	DGCR9	19005347	19007761	HAVANA	lincRNA	1	2414
chr22	-	ENSG00000270393.1	AC000095.9	19005556	19006429	HAVANA	pseudogene	1	873
chr22	+	ENSG00000273164.1	DGCR10	19010569	19011063	HAVANA	sense_intronic	1	494
chr22	-	ENSG00000241527.1	CA15P1	19019077	19022077	HAVANA	pseudogene	1	3e3
chr22	-	ENSG00000070413.14	DGCR2	19023795	19109967	HAVANA	protein_coding	1	86172
chr22	+	ENSG00000206739.1	Y_RNA	19032769	19032880	ENSEMBL	misc_RNA	1	111
chr22	-	ENSG00000273311.1	DGCR11	19033675	19035888	HAVANA	sense_intronic	1	2213
chr22	+	ENSG00000237347.2	AC004461.4	19043314	19044025	HAVANA	pseudogene	1	711
chr22	+	ENSG00000223461.1	AC004471.9	19109042	19112016	HAVANA	antisense	1	2974
chr22	-	ENSG00000272682.1	AC004471.10	19111822	19115962	HAVANA	lincRNA	1	4140
chr22	+	ENSG00000231086.1	TSSK1A	19112392	19113159	HAVANA	pseudogene	1	767
chr22	-	ENSG00000100056.7	DGCR14	19117792	19132197	HAVANA	protein_coding	1	14405
chr22	+	ENSG00000206203.3	TSSK2	19118321	19120134	HAVANA	protein_coding	1	1813
chr22	-	ENSG00000063515.2	GSC2	19136089	19137796	HAVANA	protein_coding	1	1707
chr22	+	ENSG00000260924.2	AC004463.6	19158908	19160352	HAVANA	antisense	1	1444
chr22	-	ENSG00000100075.5	SLC25A1	19163095	19166343	HAVANA	protein_coding	1	3248
chr22	-	ENSG00000070371.11	CLTCL1	19166986	19279239	HAVANA	protein_coding	1	112253
chr22	-	ENSG00000230194.1	AC000081.2	19225966	19226262	HAVANA	pseudogene	1	296
chr22	+	ENSG00000251940.1	SNORA15	19237396	19237489	ENSEMBL	snoRNA	1	93
chr22	+	ENSG00000233471.2	KRT18P62	19245043	19246329	HAVANA	pseudogene	1	1286
chr22	-	ENSG00000100084.10	HIRA	19318221	19435224	HAVANA	protein_coding	1	117003
chr22	-	ENSG00000242259.4	C22orf39	19338891	19435755	HAVANA	protein_coding	1	96864
chr22	+	ENSG00000244296.2	RN7SL168P	19353289	19353565	ENSEMBL	misc_RNA	1	276
chr22	+	ENSG00000185608.4	MRPL40	19419425	19423598	HAVANA	protein_coding	1	4173
chr22	+	ENSG00000185065.6	AC000068.5	19435416	19437628	HAVANA	antisense	1	2212
chr22	-	ENSG00000070010.14	UFD1L	19437433	19466738	HAVANA	protein_coding	1	29305
chr22	+	ENSG00000273300.1	AC000068.9	19441702	19442128	HAVANA	antisense	1	426
chr22	+	ENSG00000273212.1	AC000068.10	19444026	19444485	HAVANA	antisense	1	459
chr22	+	ENSG00000093009.5	CDC45	19466982	19508135	HAVANA	protein_coding	1	41153
chr22	-	ENSG00000184113.8	CLDN5	19510547	19515068	HAVANA	protein_coding	1	4521
chr22	-	ENSG00000230485.1	AC000077.2	19618273	19621097	HAVANA	pseudogene	1	2824
chr22	+	ENSG00000225007.1	AC000067.1	19654546	19655078	HAVANA	lincRNA	1	532
chr22	+	ENSG00000184702.13	SEPT5	19701987	19712295	HAVANA	protein_coding	1	10308
chr22	+	ENSG00000203618.5	GP1BB	19710468	19712294	HAVANA	protein_coding	1	1826
chr22	+	ENSG00000184058.8	TBX1	19744226	19771116	HAVANA	protein_coding	1	26890
chr22	-	ENSG00000185838.9	GNB1L	19770747	19842462	HAVANA	protein_coding	1	71715
chr22	+	ENSG00000235776.2	AC000089.3	19779817	19780617	HAVANA	pseudogene	1	800
chr22	-	ENSG00000215012.4	C22orf29	19833661	19842419	HAVANA	protein_coding	1	8758
chr22	-	ENSG00000184470.15	TXNRD2	19863040	19929341	HAVANA	protein_coding	1	66301
chr22	+	ENSG00000232926.1	AC000078.5	19874812	19875493	HAVANA	pseudogene	1	681
chr22	+	ENSG00000093010.7	COMT	19929130	19957498	HAVANA	protein_coding	1	28368
chr22	+	ENSG00000265087.1	MIR4761	19951276	19951357	ENSEMBL	miRNA	1	81
chr22	-	ENSG00000099889.9	ARVCF	19957419	20004331	HAVANA	protein_coding	1	46912
chr22	+	ENSG00000183597.11	TANGO2	20004537	20053449	HAVANA	protein_coding	1	48912
chr22	+	ENSG00000208023.1	MIR185	20020662	20020743	ENSEMBL	miRNA	1	81
chr22	-	ENSG00000236540.3	AC006547.13	20050503	20058066	HAVANA	antisense	1	7563
chr22	-	ENSG00000268292.1	AC006547.15	20052075	20053228	HAVANA	antisense	1	1153
chr22	+	ENSG00000128191.9	DGCR8	20067755	20099400	HAVANA	protein_coding	1	31645
chr22	+	ENSG00000266567.1	MIR3618	20073269	20073356	ENSEMBL	miRNA	1	87
chr22	+	ENSG00000221366.1	MIR1306	20073581	20073665	ENSEMBL	miRNA	1	84
chr22	-	ENSG00000243762.1	AC006547.8	20098344	20099398	HAVANA	antisense	1	1054
chr22	-	ENSG00000099899.10	TRMT2A	20099389	20104915	HAVANA	protein_coding	1	5526
chr22	+	ENSG00000099901.12	RANBP1	20103461	20114878	HAVANA	protein_coding	1	11417
chr22	+	ENSG00000264346.1	SNORA77	20113925	20114049	ENSEMBL	snoRNA	1	124
chr22	+	ENSG00000099904.11	ZDHHC8	20116979	20135530	HAVANA	protein_coding	1	18551
chr22	-	ENSG00000234409.4	AC006547.14	20135950	20138399	HAVANA	protein_coding	1	2449
chr22	-	ENSG00000249923.1	XXbac-B444P24.8	20186252	20192441	HAVANA	antisense	1	6189
chr22	+	ENSG00000236499.2	LINC00896	20193920	20196047	HAVANA	lincRNA	1	2127
chr22	-	ENSG00000040608.9	RTN4R	20228938	20270769	HAVANA	protein_coding	1	41831
chr22	-	ENSG00000221039.1	MIR1286	20236657	20236734	ENSEMBL	miRNA	1	77
chr22	+	ENSG00000161132.6	XXbac-B444P24.10	20287283	20300739	HAVANA	pseudogene	1	13456
chr22	-	ENSG00000128185.5	DGCR6L	20301799	20307603	HAVANA	protein_coding	1	5804
chr22	-	ENSG00000273343.1	XXbac-B444P24.13	20305642	20306272	HAVANA	sense_intronic	1	630
chr22	+	ENSG00000273139.1	XXbac-B444P24.14	20308262	20308726	HAVANA	lincRNA	1	464
chr22	+	ENSG00000188424.5	XXbac-B33L19.3	20326328	20350457	HAVANA	antisense	1	24129
chr22	-	ENSG00000235578.1	XXbac-B33L19.4	20330726	20331888	HAVANA	lincRNA	1	1162
chr22	-	ENSG00000230410.1	XXbac-B33L19.6	20336866	20341114	HAVANA	lincRNA	1	4248
chr22	-	ENSG00000183038.9	GGTLC3	20366206	20368028	HAVANA	protein_coding	1	1822
chr22	+	ENSG00000235704.1	AC023490.2	20377669	20378803	HAVANA	lincRNA	1	1134
chr22	+	ENSG00000206176.5	AC023490.1	20378814	20380440	HAVANA	lincRNA	1	1626
chr22	-	ENSG00000215513.7	PI4KAP1	20383524	20427835	HAVANA	pseudogene	1	44311
chr22	-	ENSG00000271796.1	snoU13	20434077	20434153	ENSEMBL	snoRNA	1	76
chr22	+	ENSG00000252571.1	SCARNA17	20455222	20455364	ENSEMBL	snoRNA	1	142
chr22	+	ENSG00000252024.1	SCARNA18	20455450	20455532	ENSEMBL	snoRNA	1	82
chr22	-	ENSG00000199876.1	RN7SKP131	20455669	20455969	ENSEMBL	misc_RNA	1	300
chr22	-	ENSG00000196622.6	RIMBP3	20456003	20461786	HAVANA	protein_coding	1	5783
chr22	-	ENSG00000236984.1	XXbac-B33L19.10	20473206	20475156	HAVANA	pseudogene	1	1950
chr22	-	ENSG00000234757.1	CA15P2	20486312	20488882	HAVANA	pseudogene	1	2570
chr22	-	ENSG00000225894.1	PPP1R26P2	20499890	20503484	HAVANA	pseudogene	1	3594
chr22	+	ENSG00000216522.3	AC011718.1	20610447	20616201	HAVANA	pseudogene	1	5754
chr22	-	ENSG00000223579.2	AC011718.2	20632023	20661407	HAVANA	lincRNA	1	29384
chr22	+	ENSG00000227005.1	AC011718.3	20644408	20645991	HAVANA	lincRNA	1	1583
chr22	-	ENSG00000233938.1	PPP1R26P3	20670709	20674508	HAVANA	pseudogene	1	3799
chr22	+	ENSG00000188280.7	FAM230A	20692438	20716938	HAVANA	protein_coding	1	24500
chr22	-	ENSG00000161133.12	USP41	20704868	20745048	HAVANA	protein_coding	1	40180
chr22	+	ENSG00000185252.13	ZNF74	20748405	20762745	HAVANA	protein_coding	1	14340
chr22	-	ENSG00000207343.1	RNU6-225P	20771087	20771189	ENSEMBL	snRNA	1	102
chr22	-	ENSG00000244486.3	SCARF2	20778874	20792146	HAVANA	protein_coding	1	13272
chr22	-	ENSG00000099910.12	KLHL22	20783528	20850170	HAVANA	protein_coding	1	66642
chr22	+	ENSG00000215493.3	XXbac-B562F10.11	20804409	20806111	HAVANA	pseudogene	1	1702
chr22	-	ENSG00000255156.1	KLHL22-IT1	20829490	20829598	HAVANA	misc_RNA	1	108
chr22	+	ENSG00000201916.1	Y_RNA	20835445	20835555	ENSEMBL	misc_RNA	1	110
chr22	-	ENSG00000242876.2	RN7SL812P	20836224	20836497	ENSEMBL	misc_RNA	1	273
chr22	-	ENSG00000236670.1	KRT18P5	20837102	20838392	HAVANA	pseudogene	1	1290
chr22	-	ENSG00000265300.1	AC007731.1	20837512	20837603	ENSEMBL	miRNA	1	91
chr22	+	ENSG00000099917.13	MED15	20850200	20941919	HAVANA	protein_coding	1	91719
chr22	-	ENSG00000236003.1	AC007050.17	20876357	20878157	HAVANA	antisense	1	1800
chr22	-	ENSG00000250261.1	AC007050.18	20941783	20946505	HAVANA	pseudogene	1	4722
chr22	-	ENSG00000223553.1	SMPD4P1	20956882	21011201	HAVANA	pseudogene	1	54319
chr22	+	ENSG00000238125.1	SLC9A3P2	21007017	21009037	HAVANA	pseudogene	1	2020
chr22	+	ENSG00000264718.1	AC007050.1	21011322	21011403	ENSEMBL	miRNA	1	81
chr22	-	ENSG00000229107.2	ABHD17AP4	21022124	21025272	HAVANA	pseudogene	1	3148
chr22	+	ENSG00000217261.4	POM121L4P	21044217	21053226	HAVANA	pseudogene	1	9009
chr22	-	ENSG00000235062.4	BCRP5	21052250	21053222	HAVANA	pseudogene	1	972
chr22	+	ENSG00000226287.3	TMEM191A	21055220	21058894	HAVANA	processed_transcript	1	3674
chr22	-	ENSG00000241973.6	PI4KA	21061979	21213705	HAVANA	protein_coding	1	151726
chr22	+	ENSG00000234252.1	AC007308.6	21077335	21080208	HAVANA	antisense	1	2873
chr22	+	ENSG00000099937.6	SERPIND1	21128167	21142008	HAVANA	protein_coding	1	13841
chr22	+	ENSG00000099940.7	SNAP29	21213271	21245506	HAVANA	protein_coding	1	32235
chr22	-	ENSG00000272600.1	AC007308.7	21243494	21245502	HAVANA	antisense	1	2008
chr22	+	ENSG00000099942.8	CRKL	21271714	21308037	HAVANA	protein_coding	1	36323
chr22	+	ENSG00000266366.1	RN7SL389P	21309449	21309714	ENSEMBL	misc_RNA	1	265
chr22	+	ENSG00000237476.1	XXbac-B135H6.15	21311380	21318967	HAVANA	lincRNA	1	7587
chr22	+	ENSG00000183773.11	AIFM3	21319396	21335649	HAVANA	protein_coding	1	16253
chr22	+	ENSG00000099949.14	LZTR1	21333751	21353327	HAVANA	protein_coding	1	19576
chr22	-	ENSG00000272829.1	XXbac-B135H6.18	21335650	21336044	HAVANA	lincRNA	1	394
chr22	-	ENSG00000184436.7	THAP7	21353393	21356485	HAVANA	protein_coding	1	3092
chr22	+	ENSG00000230513.1	THAP7-AS1	21356175	21364631	HAVANA	antisense	1	8456
chr22	-	ENSG00000161149.7	TUBA3FP	21357184	21368581	HAVANA	pseudogene	1	11397
chr22	-	ENSG00000269103.1	AC002472.1	21358030	21360736	ENSEMBL	protein_coding	1	2706
chr22	+	ENSG00000099957.12	P2RX6	21364097	21383119	HAVANA	protein_coding	1	19022
chr22	-	ENSG00000099960.8	SLC7A4	21383007	21387129	HAVANA	protein_coding	1	4122
chr22	+	ENSG00000226872.1	AC002472.11	21385646	21398258	HAVANA	antisense	1	12612
chr22	-	ENSG00000207575.1	MIR649	21388465	21388561	ENSEMBL	miRNA	1	96
chr22	-	ENSG00000206145.4	P2RX6P	21389532	21399306	HAVANA	pseudogene	1	9774
chr22	+	ENSG00000187905.6	AC002472.13	21400249	21418457	HAVANA	protein_coding	1	18208
chr22	+	ENSG00000249680.1	TUBA3GP	21419749	21424386	HAVANA	pseudogene	1	4637
chr22	+	ENSG00000169668.7	BCRP2	21457305	21476574	HAVANA	pseudogene	1	19269
chr22	-	ENSG00000197210.7	KB-1592A4.15	21468896	21478740	HAVANA	lincRNA	1	9844
chr22	-	ENSG00000239511.1	POM121L7	21477050	21482352	HAVANA	protein_coding	1	5302
chr22	-	ENSG00000224688.1	KB-1592A4.13	21495913	21496660	HAVANA	pseudogene	1	747
chr22	+	ENSG00000215498.4	FAM230B	21522047	21546445	HAVANA	processed_transcript	1	24398
chr22	-	ENSG00000234503.1	KB-1592A4.14	21532181	21534164	HAVANA	lincRNA	1	1983
chr22	-	ENSG00000133475.12	GGT2	21562262	21581926	HAVANA	protein_coding	1	19664
chr22	+	ENSG00000226885.1	KB-1183D5.9	21622450	21623192	HAVANA	pseudogene	1	742
chr22	+	ENSG00000229266.1	POM121L8P	21637170	21638450	HAVANA	pseudogene	1	1280
chr22	-	ENSG00000169662.8	BCRP6	21645049	21648875	HAVANA	pseudogene	1	3826
chr22	-	ENSG00000206142.5	KB-1183D5.13	21655279	21679331	HAVANA	lincRNA	1	24052
chr22	+	ENSG00000237407.1	KB-1183D5.14	21667209	21669193	HAVANA	lincRNA	1	1984
chr22	+	ENSG00000232771.2	PPP1R26P5	21695884	21699547	HAVANA	pseudogene	1	3663
chr22	+	ENSG00000226534.1	KB-1183D5.16	21724353	21726234	HAVANA	pseudogene	1	1881
chr22	+	ENSG00000196934.3	RIMBP3B	21737663	21743446	HAVANA	protein_coding	1	5783
chr22	+	ENSG00000200057.1	RN7SKP63	21743480	21743780	ENSEMBL	misc_RNA	1	300
